,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2286,INT,21.46,22.21,21.38,21.83,412308.0,0.48999977,0.022961564,EQUITY,1386248704.0,61751865.0,63502000.0,1367760.0,3.12,0.0253,0.031889997,0.95333,1.038331,,,2020-11-05
2287,INTC,46.15,46.38,45.525,45.68,30129916.0,0.31000137,0.0068327393,EQUITY,187196637184.0,4094393760.0,4097999872.0,96182648.0,3.72,0.0235,0.00049,0.69689006,0.722096,,,2020-11-05
2288,INTG,32.0759,32.5,31.43,31.43,201.0,-0.66999817,-0.020872219,EQUITY,71783608.0,792867.0,2283920.0,6148.0,12.27,0.0078,0.65433,0.08878,,,,2020-11-05
2289,INTU,350.92,352.01,346.22,350.96,1038906.0,7.9599915,0.023206972,EQUITY,91883782144.0,254007967.0,260771008.0,2908666.0,2.23,0.0115,0.0341,0.88445,0.987034,,,2020-11-05
2290,INVA,10.56,10.64,10.31,10.55,519655.0,0.05000019,0.004761923,EQUITY,1069685632.0,54151670.0,101392000.0,10554290.0,16.47,0.1831,0.3197,0.78463995,0.776613,,,2020-11-05
2291,INVE,7.25,7.38,6.98,7.01,77234.0,-0.17999983,-0.025034748,EQUITY,125427128.0,17162073.0,17892600.0,196134.0,1.92,0.012999999,0.06538,0.378,1.714768,,,2020-11-05
2292,INVH,29.0,29.265,28.84,28.97,2612513.0,0.14999962,0.005204706,EQUITY,16238669824.0,558762744.0,560532992.0,11184044.0,2.95,0.0234,0.00232,1.03733,0.838193,,,2020-11-05
2293,INWK,3.0,3.0,2.99,2.99,483771.0,0.0,0.0,EQUITY,157999376.0,,,,,,,,,,,2020-11-05
2294,INZY,24.09,25.225,23.69,24.64,171696.0,0.5799999,0.024106398,EQUITY,575708672.0,7310628.0,23364900.0,360128.0,3.16,0.0154,0.088360004,0.41252,,,,2020-11-05
2295,IONS,47.71,49.71,47.56,48.72,2366359.0,1.1100006,0.023314442,EQUITY,6806037504.0,132710782.0,139696992.0,8157895.0,6.3,0.0695,0.04977,0.85918,1.49145,,,2020-11-05
2296,IOSP,70.06,72.28,69.57,70.31,129948.0,0.30999756,0.0044285366,EQUITY,1727376000.0,24230443.0,24568000.0,327356.0,2.33,0.0219,0.01332,0.9771,1.23337,,,2020-11-05
2297,IOVA,40.0,40.84,39.13,40.42,1070604.0,0.83999634,0.021222746,EQUITY,5919226368.0,116221726.0,146443008.0,15158770.0,8.03,0.111,0.0060900003,1.03433,0.944193,,,2020-11-05
2298,IP,45.5,47.52,45.26,46.89,2702205.0,1.7999992,0.039920144,EQUITY,18432225280.0,391665930.0,393095008.0,11834007.0,3.61,0.0369,0.0024899999,0.82981,1.178157,,,2020-11-05
2299,IPAR,45.54,46.45,45.44,46.12,92591.0,0.579998,0.012736011,EQUITY,1454283520.0,17594537.0,31532600.0,375036.0,3.43,0.021300001,0.44186002,0.56312,0.76832,,,2020-11-05
2300,IPG,19.13,19.6,19.09,19.53,3256520.0,0.63000107,0.03333339,EQUITY,7617383936.0,387132835.0,390035008.0,15060763.0,4.08,0.059699997,0.0069700005,1.01208,0.869785,,,2020-11-05
2301,IPGP,197.39,200.93,197.11,197.55,359886.0,3.680008,0.018981833,EQUITY,10529553408.0,36997587.0,53300700.0,1488562.0,7.93,0.0523,0.3321,0.66402,1.52593,,,2020-11-05
2302,IPHA,4.39,4.39,4.115,4.26,20541.0,0.21000004,0.051851857,EQUITY,349332800.0,51455588.0,78962704.0,30059.0,2.45,,0.01551,0.03771,-0.12405,,,2020-11-05
2303,IPHI,144.7,148.29,143.77,147.96,3016433.0,4.980011,0.034830123,EQUITY,7709041664.0,51556887.0,52102200.0,2272209.0,2.54,0.0442,0.00826,0.96184,1.142051,,,2020-11-05
2304,IPI,8.82,9.6,8.82,9.06,189631.0,0.31000042,0.03542862,EQUITY,120445456.0,7638077.0,13294200.0,234654.0,1.98,0.0287,0.41122,0.34152,2.042841,,,2020-11-05
2305,IPLDP,26.06,26.11,26.0101,26.11,3377.0,0.010000229,0.00038315053,EQUITY,349111584.0,,13370800.0,,,,0.0,0.35331002,,,,2020-11-05
