,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,UEC,4.09,4.04-4.22,23.08M,4.1,2.35-6.55,-0.01,836593.0,1280000000.0,N/A(N/A),835857.0,-,2.04,26.23%,334805924.0,17/10/2022,2022-09-15
0,SAND,6.44,6.46-6.71,119.24M,6.47,5.33-9.12,-,12113.0,1740000000.0,N/A(N/A),6928.0,16.65,-,-2.13%,280131491.0,02/11/2022,2022-09-15
0,INTT,8.34,8.21-8.29,97.15M,8.29,6.21-17,0.487,5785.0,87.88M,N/A(N/A),4450.0,17.15,1.95,-36.63%,10651736.0,03/11/2022,2022-09-15
0,NNVC,1.9,1.92-2,-,2.0,1.05-7.82,-0.729,10355.0,23.34M,N/A(N/A),23581.0,-2.5,1.04,-60.66%,11554000.0,30/11/2022,2022-09-15
0,OGEN,0.275,0.276-0.308,132.46K,0.287,0.218-0.768,-0.144,50121.0,32.08M,N/A(N/A),25859.0,-1.95,0.097,-57.77%,116394806.0,28/10/2022,2022-09-15
0,UUUU,7.14,7.08-7.41,11.78M,7.13,4.695-11.37,-0.062,190667.0,1060000000.0,N/A(N/A),251359.0,-115.72,1.54,-4.55%,157578374.0,03/11/2022,2022-09-15
0,BTG,3.4,3.4-3.47,1770000000.0,3.42,2.915-5.065,0.358,128290.0,3610000000.0,0.16(4.86%),406759.0,8.22,1.03,-11.23%,1063051629.0,08/11/2022,2022-09-15
0,PED,1.07,1.07-1.12,25.23M,1.09,0.97-2.43,0.033,56842.0,91.54M,N/A(N/A),29984.0,33.73,1.04,-20.74%,85550267.0,15/11/2022,2022-09-15
0,REI,2.9,2.92-3.09,224.99M,2.92,2.03-5.08,0.861,132622.0,393.05M,N/A(N/A),290625.0,4.79,1.97,17.89%,130581374.0,09/11/2022,2022-09-15
0,AAMC,19.99,19-19.59,533K,19.59,8.78-26.99,-0.348,693.0,33.75M,N/A(N/A),3495.0,-56.46,1.39,-27.96%,1776205.0,09/11/2022,2022-09-15
0,AIRI,0.71,0.69-0.71,57.28M,0.69,0.64-1.3,0.047,13010.0,22.98M,N/A(N/A),7559.0,14.58,0.767,-37.17%,32364670.0,03/11/2022,2022-09-15
0,CANF,0.91,0.91-0.913,250K,0.91,0.781-2.6,-0.021,303.0,24.69M,N/A(N/A),25193.0,-1.51,1.58,-47.7%,815746293.0,30/11/2022,2022-09-15
0,DGSE,6.71,6.63-6.82,162.89M,6.71,3.53-8.41,0.46,5724.0,179.86M,N/A(N/A),13705.0,15.25,-0.143,61.69%,26924631.0,15/11/2022,2022-09-15
0,LIQT,0.282,0.458-0.458,18.92M,0.458,0.458-1.25,-0.58,100.0,23.96M,N/A(N/A),100.0,-,1.0,-95.42%,43888538.0,16/11/2022,2022-09-15
0,NSPR,0.57,4.95-5.13,4.67M,4.95,4.31-5.28,-10.43,18272.0,19.3M,N/A(N/A),18272.0,-,1.39,0%,8077047.0,-,2022-09-15
0,ENSV,1.5254,1.53-1.68,6.12M,1.53,0.5539-8.75,-0.74,14678.0,18.27M,N/A(N/A),18445.0,-2.64,1.17,30.38%,11491623.0,16/11/2022,2022-09-15
0,XXII,3.63,2.005-2.005,33.18M,2.005,1.425-3.5,-0.23,227.0,270.63M,N/A(N/A),1370.0,-,1.81,-32.94%,214784741.0,10/11/2022,2022-09-15
0,GSAT,1.77,1.74-1.87,136.66M,1.78,0.905-2.97,-0.057,718282.0,3310000000.0,N/A(N/A),653801.0,-28.83,0.408,1.14%,1800477322.0,03/11/2022,2022-09-15
0,KIQ,0.3461,0.341-0.3643,4.99M,0.36,0.293-1,-0.038,4809.0,18.52M,N/A(N/A),4498.0,-9.21,1.05,-48.17%,54320086.0,10/11/2022,2022-09-15
0,ATNM,8.25,8.14-8.53,1.24M,8.2,4.41-10.3,-1.22,22364.0,204M,N/A(N/A),16053.0,-5.06,0.402,43.23%,25184654.0,28/10/2022,2022-09-15
0,BRG,26.7,26.65-26.96,228.11M,26.75,10.67-27.41,-1.75,43506.0,1120000000.0,0.65(2.42%),89255.0,-14.77,0.884,147.22%,41706600.0,08/11/2022,2022-09-15
0,ISDR,18.9,19-20.35,22.19M,19.39,18.21-32.98,0.793,2398.0,68.61M,N/A(N/A),2614.0,29.11,0.753,-30.52%,3611010.0,03/11/2022,2022-09-15
0,TRXC,0.56,0.53-0.56,7.22M,0.548,0.35-2.31,-0.3,127184.0,126.69M,N/A(N/A),626130.0,-1.81,1.58,-71.13%,236718923.0,10/11/2022,2022-09-15
0,SDPI,0.83,0.795-0.86,16.18M,0.86,0.651-2.38,0.026,13587.0,23.69M,N/A(N/A),14465.0,33.97,0.005,-0.06%,29243215.0,11/11/2022,2022-09-15
0,AINC,16.28,15.5-16.7,444.73M,16.7,12.2-25.8,-9.19,1227.0,48.3M,N/A(N/A),1342.0,-1.81,2.07,10.67%,3115816.0,02/11/2022,2022-09-15
0,VNRX,1.77,1.76-1.79,193.69K,1.79,1.55-4.14,-0.568,25558.0,101.42M,N/A(N/A),13513.0,-2.99,1.65,-42.35%,57296973.0,09/11/2022,2022-09-15
0,CRHM,3.99,3.99-3.99,-,3.99,3.99-3.99,-,9047.0,157M,N/A(N/A),11154.0,-,3.15,0%,-,-,2022-09-15
0,RHE,3.4659,3.35-3.48,26.26M,3.4,2.06-10.8,-7.86,2625.0,5.74M,N/A(N/A),15268.0,-0.427,0.952,-56.46%,1707720.0,15/11/2022,2022-09-15
0,EGHT,4.59,4.48-4.71,677.42M,4.48,4.22-25.19,-1.36,1024513.0,553.04M,N/A(N/A),2297765.0,-3.29,1.23,-80.84%,119964673.0,02/11/2022,2022-09-15
0,HCI,49.29,48.5-51.22,464.51M,48.87,44.9-139.8,-1.59,96011.0,458.47M,1.60(3.16%),89076.0,-,0.694,-53.94%,9044534.0,08/11/2022,2022-09-15
0,AMRX,2.25,2.201-2.37,2120000000.0,2.23,2.15-5.99,-0.891,1289400.0,708.73M,N/A(N/A),1034488.0,-2.62,1.21,-54.45%,303525425.0,09/11/2022,2022-09-15
0,IRET,74.9,74.31-75.11,231.83M,74.6,74.08-112.27,-2.34,54854.0,1220000000.0,2.92(3.93%),73437.0,-31.15,0.924,-24.87%,16367353.0,08/11/2022,2022-09-15
0,KAMN,31.23,30.32-31.29,673.81M,30.87,27.94-46.5,1.14,135080.0,852.9M,0.80(2.63%),161481.0,27.4,1.19,-11.78%,28009838.0,02/11/2022,2022-09-15
0,MSG,156.31,154.57-159.13,646.14M,156.36,145.41-203.37,2.11,125769.0,3750000000.0,N/A(N/A),109163.0,76.07,0.594,-13.7%,24226355.0,04/11/2022,2022-09-15
0,ONTO,69.92,67.29-69.87,923.89M,69.28,59.95-106.09,3.8,156884.0,3380000000.0,N/A(N/A),312411.0,17.94,1.21,-12.09%,49680837.0,09/11/2022,2022-09-15
0,PGTI,20.35,19.95-20.75,1370000000.0,20.69,15.42-23.36,1.09,510471.0,1210000000.0,N/A(N/A),400894.0,19.16,1.48,1.55%,59946690.0,10/11/2022,2022-09-15
0,SAVE,22.99,22.66-23.46,4240000000.0,22.97,15.92-28.3,-2.94,3061005.0,2540000000.0,N/A(N/A),2316991.0,-7.51,1.06,-6.01%,108854641.0,26/10/2022,2022-09-15
0,TISI,1.29,1.23-1.291,910.9M,1.26,0.52-3.76,-5.27,350433.0,54.03M,N/A(N/A),1270105.0,-0.245,2.03,-65.14%,43223879.0,07/11/2022,2022-09-15
0,UI,307.05,297.84-308,1730000000.0,308.0,218.15-333.26,6.14,74394.0,18120000000.0,2.40(0.80%),53189.0,50.63,1.4,-0.33%,60426699.0,11/11/2022,2022-09-15
0,UNFI,42.9,42.19-43.14,28420000000.0,42.73,33.63-57.89,4.14,262928.0,2460000000.0,N/A(N/A),334606.0,10.52,0.93,18.02%,58292197.0,27/09/2022,2022-09-15
0,USPH,78.43,76.78-79.19,526.52M,78.05,76-131.5,2.93,54274.0,999.25M,1.64(2.13%),95620.0,27.64,1.22,-30.05%,13004245.0,03/11/2022,2022-09-15
0,WPP,43.7,43.77-44.67,22660000000.0,43.91,41.63-83.69,0.561,149525.0,9570000000.0,2.0518(4.68%),197130.0,12.79,1.23,-34.39%,1085056204.0,28/10/2022,2022-09-15
0,LDOS,92.94,91.69-92.99,14070000000.0,92.83,81.07-111.12,5.2,737970.0,12620000000.0,1.44(1.56%),685745.0,18.5,0.717,-1.77%,136540637.0,01/11/2022,2022-09-15
0,AEL,37.18,36.9-37.65,1920000000.0,36.98,27.12-44.49,12.07,475353.0,3260000000.0,0.34(0.91%),545018.0,3.19,1.05,25.99%,87518978.0,07/11/2022,2022-09-15
0,PAC,145.08,141.48-146.37,1160000000.0,144.68,112.88-167.24,15.85,76974.0,7130000000.0,7.0355(4.90%),46984.0,17.93,0.935,24.57%,499963796.0,27/10/2022,2022-09-15
0,ASX,5.45,5.361-5.49,20360000000.0,5.42,4.88-8.91,17.18,8728261.0,11410000000.0,0.3585(6.58%),6064781.0,4.9,1.3,-39.78%,4286986932.0,03/11/2022,2022-09-15
0,CWT,61.37,59.17-61.35,809.23M,60.95,48.46-72.08,1.63,302501.0,3230000000.0,1.00(1.68%),212038.0,36.76,0.334,0.54%,54356000.0,27/10/2022,2022-09-15
0,IRS,4.37,4.13-4.38,146.79M,4.35,3.16-5.77,0.471,14156.0,704.33M,N/A(N/A),51574.0,-24.13,1.47,-4.59%,808867628.0,10/11/2022,2022-09-15
0,MFA,10.92,10.62-10.95,122.12M,10.88,9.719-19.2,-0.377,1225118.0,1080000000.0,1.76(16.56%),1432299.0,-,1.69,-40.39%,101793274.0,03/11/2022,2022-09-15
0,ARI,11.28,11.12-11.43,263.98M,11.29,9.41-15.98,1.19,1007018.0,1570000000.0,1.40(12.51%),1049000.0,9.53,1.39,-24.65%,140595995.0,26/10/2022,2022-09-15
0,CCM,2.0,1.67-1.89,70.11M,1.89,1.15-3.397,-18.79,746.0,86.83M,N/A(N/A),1422.0,-0.669,-0.139,-30.4%,43417228.0,17/11/2022,2022-09-15
0,DL,9.72,9.73-9.73,116.26M,9.73,9.72-9.75,0.31,0.0,332.64M,N/A(N/A),70128.0,31.57,0.941,0%,135560556.0,-,2022-09-15
0,PHI,28.46,27.83-28.38,3500000000.0,28.25,27.59-39,139.45,74830.0,6230000000.0,1.5567(5.55%),88363.0,11.31,0.104,-3.75%,216055775.0,10/11/2022,2022-09-15
0,RRTS,2.73,2.7-2.7,-,2.7,0.25-5.08,-10.12,4089.0,103.39M,N/A(N/A),1185.0,-0.278,5.35,-31.75%,38291933.0,09/11/2022,2022-09-15
0,SUP,3.77,3.74-4.36,1430000000.0,3.74,3.11-7.759,-0.963,116179.0,106.17M,N/A(N/A),69475.0,-5.53,3.96,-47.64%,27016125.0,07/11/2022,2022-09-15
0,TCI,39.0,37.82-40.95,35.35M,39.37,33.51-47.76,5.61,12010.0,343.93M,N/A(N/A),7622.0,7.59,0.618,11.43%,8639316.0,18/11/2022,2022-09-15
0,MNR,20.98,20.97-21,187.65M,20.97,18.36-21.14,0.31,0.0,2069999999.9999998,0.72(3.43%),2364602.0,67.78,0.7,10.6%,98486382.0,-,2022-09-15
0,SWM,24.74,24.56-25.28,1610000000.0,24.82,19.08-38.63,2.49,371356.0,1350000000.0,1.60(6.47%),522821.0,10.0,0.84,-27.34%,54913447.0,09/11/2022,2022-09-15
0,AIT,105.23,103.53-105.73,1770000000.0,104.28,80.93-121.2,6.69,115090.0,4040000000.0,1.36(1.30%),161393.0,15.91,1.22,22.46%,38493690.0,26/10/2022,2022-09-15
