,Name,Allocation
415,Brambles Limited,0.05%
416,BANDAI NAMCO Holdings Inc.,0.05%
417,"ONO Pharmaceutical Co., Ltd.",0.05%
418,Chr. Hansen Holding A/S,0.05%
419,QIAGEN NV,0.05%
420,"NEXON Co., Ltd.",0.05%
421,"ENEOS Holdings, Inc.",0.05%
422,NIPPON PAINT HOLDINGS CO.LTD.,0.05%
423,Magazine Luiza S.A.,0.05%
424,Geely Automobile Holdings Limited,0.05%
425,Sonic Healthcare Limited,0.05%
426,"LARGAN Precision Co., Ltd.",0.05%
427,Halma plc,0.05%
428,ANTA Sports Products Ltd.,0.05%
429,Toshiba Corporation,0.05%
430,Power Corporation of Canada,0.05%
431,"SAMSUNG BIOLOGICS Co., Ltd.",0.05%
432,CSPC Pharmaceutical Group Limited,0.05%
433,Credit Agricole SA,0.05%
434,"Sunny Optical Technology (Group) Co., Ltd.",0.05%
435,Sunac China Holdings Ltd.,0.05%
436,Persimmon Plc,0.05%
437,CTBC Financial Holding Company Ltd.,0.05%
438,NCsoft Corporation,0.05%
439,Telenor ASA,0.05%
440,FirstRand Limited,0.05%
441,Continental AG,0.05%
442,Repsol SA,0.05%
443,BT Group plc,0.05%
444,"Hang Seng Bank, Limited",0.05%
445,Kinross Gold Corporation,0.04%
446,Semiconductor Manufacturing International Corp.,0.04%
447,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 ShsB And 4 ShsD,0.04%
448,Ambev SA,0.04%
449,China Overseas Land & Investment Limited,0.04%
450,Shenzhou International Group Holdings Limited,0.04%
451,Terna S.p.A.,0.04%
452,Beiersdorf AG,0.04%
453,Snam S.p.A.,0.04%
454,TATNEFT PJSC,0.04%
455,Teva Pharmaceutical Industries Limited Sponsored ADR,0.04%
456,Gold Fields Limited,0.04%
457,Alstom SA,0.04%
458,"JAPAN POST HOLDINGS Co., Ltd.",0.04%
459,HCL Technologies Limited,0.04%
460,QBE Insurance Group Limited,0.04%
461,Uni-President Enterprises Corp.,0.04%
462,Julius Baer Gruppe AG,0.04%
463,China Petroleum & Chemical Corporation Class H,0.04%
464,Eurofins Scientific Societe Europeenne,0.04%
465,Formosa Plastics Corporation,0.04%
466,"Mega Financial Holding Co., Ltd.",0.04%
467,Maruti Suzuki India Limited,0.04%
468,NN Group N.V.,0.04%
469,James Hardie Industries PLC Chess Units of Foreign Securities,0.04%
470,Next plc,0.04%
471,Nan Ya Plastics Corporation,0.04%
472,WEG S.A.,0.04%
473,Scout24 AG,0.04%
474,Sage Group plc,0.04%
475,Danske Bank A/S,0.04%
476,Top Glove Corporation Bhd.,0.04%
477,Schindler Holding AG Pref,0.04%
478,Bunzl plc,0.04%
479,a2 Milk Company Ltd.,0.04%
480,Asahi Kasei Corporation,0.04%
481,China Resources Beer (Holdings) Co. Ltd.,0.04%
482,Country Garden Services Holdings Co. Ltd.,0.04%
483,Straumann Holding AG,0.04%
484,PT Telekomunikasi Indonesia (Persero) Tbk. Class B,0.04%
485,Spirax-Sarco Engineering PLC,0.04%
486,Makita Corporation,0.04%
487,arGEN-X SE,0.04%
488,Porsche Automobil Holding SE Pref,0.04%
489,Brenntag AG,0.04%
490,Sands China Ltd.,0.04%
491,BOC Hong Kong (Holdings) Limited,0.04%
492,Kuehne & Nagel International AG,0.04%
493,Emera Incorporated,0.04%
494,"E.SUN Financial Holding Co., Ltd.",0.04%
495,Gazprom PJSC,0.04%
496,Ingenico Group SA,0.04%
497,Croda International Plc,0.04%
498,LEG Immobilien AG,0.04%
499,WPP Plc,0.04%
500,Epiroc AB Class A,0.04%
501,Sartorius Stedim Biotech SA,0.04%
502,Hannover Ruck SE,0.04%
503,Temenos AG,0.04%
504,InterContinental Hotels Group PLC,0.04%
505,Pan Pacific International Holdings Corporation,0.04%
506,"BeiGene, Ltd. Sponsored ADR",0.04%
507,APA Group,0.04%
508,Peugeot SA,0.04%
509,Grupo Financiero Banorte SAB de CV Class O,0.04%
510,Loblaw Companies Limited,0.04%
511,ITC Limited,0.04%
512,Heineken Holding N.V.,0.04%
513,Advantest Corp.,0.04%
514,KIA Motors Corporation,0.04%
515,Kinnevik AB Class B,0.04%
516,Evolution Gaming Group AB,0.04%
517,"Cathay Financial Holdings Co., Ltd.",0.04%
518,Agricultural Bank of China Limited Class H,0.04%
519,Henkel AG & Co. KGaA,0.04%
520,Carrefour SA,0.04%
521,"Meiji Holdings Co., Ltd.",0.04%
522,Saudi Arabian Oil Company (Saudi Aramco),0.04%
523,Country Garden Holdings Co. Ltd.,0.04%
524,NIBE Industrier AB Class B,0.04%
525,Royal KPN NV,0.04%
526,MTU Aero Engines AG,0.04%
527,A.P. Moller - Maersk A/S Class B,0.04%
528,Telia Company AB,0.04%
529,Nitto Denko Corp.,0.04%
530,Associated British Foods plc,0.04%
531,Mondi plc,0.04%
532,Shaw Communications Inc. Class B,0.04%
533,Umicore,0.04%
534,"Daifuku Co., Ltd.",0.04%
535,Telstra Corporation Limited,0.04%
536,Aena SME SA,0.04%
537,First Abu Dhabi Bank P.J.S.C.,0.04%
538,Alibaba Health Information Technology Ltd.,0.04%
539,"Sumitomo Realty & Development Co., Ltd.",0.04%
540,"Nomura Research Institute,Ltd.",0.04%
541,ENN Energy Holdings Limited,0.04%
542,Marubeni Corporation,0.04%
543,Cochlear Limited,0.04%
544,Longfor Group Holdings Ltd.,0.04%
545,Li Ning Company Limited,0.04%
546,Siam Cement Public Co. Ltd. NVDR,0.04%
547,"Nissan Motor Co., Ltd.",0.04%
548,Fortum Oyj,0.04%
549,Emirates Telecommunications Group Company PJSC,0.04%
550,KT & G Corporation,0.04%
551,Chocoladefabriken Lindt & Spruengli AG Partizipsch.,0.04%
552,"Ajinomoto Co., Inc.",0.04%
553,Suncorp Group Limited,0.04%
554,GN Store Nord A/S,0.04%
555,Fairfax Financial Holdings Limited,0.03%
556,Bouygues SA,0.03%
557,"Ping An Insurance (Group) Company of China, Ltd. Class A",0.03%
558,Elisa Oyj Class A,0.03%
559,Grupo Mexico S.A.B. de C.V. Class B,0.03%
560,Endesa S.A.,0.03%
561,Bajaj Finance Limited,0.03%
562,DCC Plc,0.03%
563,Chocoladefabriken Lindt & Spruengli AG,0.03%
564,Standard Bank Group Limited,0.03%
565,Jardine Matheson Holdings Limited,0.03%
566,SAMSUNG C&T CORP,0.03%
567,Insurance Australia Group Limited,0.03%
568,Adecco Group AG,0.03%
569,United Microelectronics Corp.,0.03%
570,Credicorp Ltd.,0.03%
571,Atlantia S.p.A,0.03%
572,China Tower Corp. Ltd. Class H,0.03%
573,Atos SE,0.03%
574,"Sumitomo Mitsui Trust Holdings, Inc.",0.03%
575,OTP Bank Nyrt,0.03%
576,Smurfit Kappa Group Plc,0.03%
577,Mowi ASA,0.03%
578,"Sumitomo Electric Industries, Ltd.",0.03%
579,Thales SA,0.03%
580,Anhui Conch Cement Company Limited Class H,0.03%
581,WH Group Ltd. (HK),0.03%
582,Polyus PJSC,0.03%
583,Trend Micro Incorporated,0.03%
584,"Fubon Financial Holding Co., Ltd.",0.03%
585,LG Electronics Inc.,0.03%
586,Just Eat Takeaway.com N.V.,0.03%
587,Itausa - Investimentos Itau SA Pfd,0.03%
588,Baloise-Holding AG,0.03%
589,"Grifols, S.A. Class A",0.03%
590,Flutter Entertainment Plc,0.03%
591,HeidelbergCement AG,0.03%
592,"Yamato Holdings Co., Ltd.",0.03%
593,Coca-Cola European Partners Plc,0.03%
594,Groupe Bruxelles Lambert SA,0.03%
595,Informa Plc,0.03%
596,Asian Paints Ltd.,0.03%
597,CNH Industrial NV,0.03%
598,"TOKYO GAS Co., Ltd.",0.03%
599,Yaskawa Electric Corporation,0.03%
600,CD Projekt S.A.,0.03%
601,CaixaBank SA,0.03%
602,Nihon M&A Center Inc.,0.03%
603,Bank Leumi Le-Israel Ltd.,0.03%
604,"Wuliangye Yibin Co., Ltd. Class A",0.03%
605,Scentre Group,0.03%
606,Alfa Laval AB,0.03%
607,Vipshop Holdings Ltd Sponsored ADR,0.03%
608,Stora Enso Oyj Class R,0.03%
609,Algonquin Power & Utilities Corp.,0.03%
610,"China Pacific Insurance (Group) Co., Ltd. Class H",0.03%
611,Svenska Cellulosa Aktiebolaget Class B,0.03%
612,Toyota Industries Corp.,0.03%
613,Kikkoman Corporation,0.03%
614,China Gas Holdings Limited,0.03%
615,ArcelorMittal SA,0.03%
616,Ramsay Health Care Limited,0.03%
617,Power Assets Holdings Limited,0.03%
618,Airports of Thailand Public Co. Ltd. NVDR,0.03%
619,"Chubu Electric Power Company,Incorporated",0.03%
620,"Nippon Building Fund, Inc.",0.03%
621,Arkema SA,0.03%
622,Santos Limited,0.03%
