,Name,Allocation
267,"Sohgo Security Services Co., Ltd.",0.09%
268,Renesas Electronics Corporation,0.09%
269,Bluescope Steel Limited,0.09%
270,West Japan Railway Company,0.09%
271,"Shizuoka Bank, Ltd.",0.09%
272,Saracen Mineral Holdings Limited,0.09%
273,Carsales.Com Limited,0.09%
274,"Itochu-Shokuhin Co., Ltd.",0.09%
275,Seek Limited,0.09%
276,Charter Hall Group,0.09%
277,Spark New Zealand Limited,0.09%
278,Lendlease Group,0.09%
279,JB Hi-Fi Limited,0.09%
280,Mirvac Group,0.09%
281,"FamilyMart Co., Ltd.",0.09%
282,"Ringer Hut Co., Ltd.",0.09%
283,"Capcom Co., Ltd.",0.09%
284,"Yamaha Motor Co., Ltd.",0.09%
285,"Hisamitsu Pharmaceutical Co., Inc.",0.09%
286,"Koito Manufacturing Co., Ltd.",0.09%
287,Yokogawa Electric Corp.,0.09%
288,Lintec Corporation,0.08%
289,Singapore Exchange Ltd.,0.08%
290,EQUITY OTHER,0.08%
291,Sekisui House Reit. Inc.,0.08%
292,"SG Holdings Co., Ltd.",0.08%
293,Appen Ltd.,0.08%
294,Isuzu Motors Limited,0.08%
295,Keppel Corporation Limited,0.08%
296,"TOHO GAS Co., Ltd.",0.08%
297,Shimizu Corporation,0.08%
298,"Mitsui Chemicals, Inc.",0.08%
299,Orica Limited,0.08%
300,Venture Corporation Limited,0.08%
301,"Kansai Paint Co., Ltd.",0.08%
302,HKT Trust and HKT Ltd,0.08%
303,Lion Corporation,0.08%
304,"THK Co., Ltd.",0.08%
305,Pigeon Corporation,0.08%
306,Key Coffee Inc.,0.08%
307,Mori Hills Reit Investment Corporation,0.08%
308,ASM Pacific Technology Limited,0.08%
309,"Mebuki Financial Group, Inc.",0.08%
310,TOTO Ltd,0.08%
311,Altium,0.08%
312,Ansell Limited,0.08%
313,Anritsu Corporation,0.08%
314,"Hoshino Resorts REIT, Inc.",0.08%
315,JSR Corp.,0.08%
316,Mineral Resources Limited,0.08%
317,ORIX JREIT Inc.,0.08%
318,"Dai Nippon Printing Co., Ltd.",0.08%
319,Computershare Limited,0.08%
320,Oil Search Limited,0.08%
321,Japan Retail Fund Investment Corporation,0.08%
322,Budweiser Brewing Co. APAC Ltd.,0.08%
323,GPT Group,0.08%
324,Domino's Pizza Enterprises Limited,0.08%
325,SUMCO Corporation,0.07%
326,"Idemitsu Kosan Co., Ltd.",0.07%
327,Hongkong Land Holdings Limited,0.07%
328,Peptidream Inc.,0.07%
329,"Tokyo Electric Power Company Holdings, Incorporated",0.07%
330,"Kohnan Shoji Co., Ltd.",0.07%
331,"NIKKON Holdings Co., Ltd.",0.07%
332,Jardine Strategic Holdings Limited,0.07%
333,"Tohoku Electric Power Company, Incorporated",0.07%
334,Haseko Corporation,0.07%
335,"Net One Systems Co., Ltd.",0.07%
336,"Fujitec Co., Ltd.",0.07%
337,Alfresa Holdings Corporation,0.07%
338,Henderson Land Development Co. Ltd.,0.07%
339,Oji Holdings Corp.,0.07%
340,"Iida Group Holdings Co., Ltd.",0.07%
341,Cleanaway Waste Management Ltd.,0.07%
342,"KYORIN Holdings, Inc.",0.07%
343,CapitaLand Limited,0.07%
344,"Alps Alpine Co., Ltd.",0.07%
345,Medipal Holdings Corporation,0.07%
346,Meridian Energy Limited,0.07%
347,"Sundrug Co., Ltd.",0.07%
348,SJM Holdings Limited,0.07%
349,Hakuhodo Dy Holdings Incorporated,0.07%
350,"Suzuken Co., Ltd.",0.07%
351,FUJI CORPORATION,0.07%
352,"Chugoku Electric Power Co., Inc.",0.07%
353,Fukuoka Reit Corporation,0.07%
354,Auckland International Airport Limited,0.07%
355,Suntory Beverage & Food Ltd.,0.07%
356,KONAMI HOLDINGS CORP,0.07%
357,"Concordia Financial Group, Ltd.",0.07%
358,Sydney Airport,0.07%
359,MicroPort Scientific Corp.,0.07%
360,Bapcor Ltd,0.06%
361,"Kyushu Electric Power Company,Incorporated",0.06%
362,"Nishimatsuya Chain Co., Ltd.",0.06%
363,"Tokyo Tatemono Co., Ltd.",0.06%
364,Atlas Arteria,0.06%
365,"Marui Group Co., Ltd.",0.06%
366,Xinyi Glass Holdings Limited,0.06%
367,Wisetech Global Ltd.,0.06%
368,Mapletree Logistics Trust,0.06%
369,Seiko Epson Corp.,0.06%
370,Taiyo Nippon Sanso Corporation,0.06%
371,Aisin Seiki Co Ltd,0.06%
372,"Keiyo Co., Ltd.",0.06%
373,"Aica Kogyo Company, Limited",0.06%
374,"NGK SPARK PLUG CO., LTD.",0.06%
375,"Fukuoka Financial Group, Inc.",0.06%
376,"J. FRONT RETAILING Co., Ltd.",0.06%
377,"Hitachi Construction Machinery Co., Ltd.",0.06%
378,Coca-Cola Amatil Limited,0.06%
379,"Hitachi Transport System,Ltd.",0.06%
380,"Invesco Office J-REIT, Inc.",0.06%
381,"Rohto Pharmaceutical Co., Ltd.",0.06%
382,"IBIDEN CO., LTD.",0.06%
383,Infomart Corporation,0.06%
384,House Foods Group Inc.,0.06%
385,"AMADA Co., Ltd.",0.06%
386,Toyo Tire Corporation,0.06%
387,Qube Holdings Ltd.,0.06%
388,Sakata Seed Corporation,0.06%
389,"Shin-Etsu Polymer Co., Ltd.",0.06%
390,Sojitz Corp.,0.06%
391,"Toppan Printing Co., Ltd.",0.06%
392,ALS Ltd.,0.06%
393,Argo Graphics Inc.,0.06%
394,OZ Minerals Limited,0.06%
395,Coca-Cola Bottlers Japan Holdings Inc.,0.06%
396,"Royal Holdings Co., Ltd.",0.06%
397,Man Wah Holdings Limited,0.06%
398,Fancl Corporation,0.06%
399,United Urban Investment Corporation,0.06%
400,Alumina Limited,0.06%
401,Teijin Limited,0.06%
402,"CALBEE, Inc.",0.06%
403,Boral Limited,0.06%
404,Mapletree Industrial Trust,0.06%
405,PERSOL HOLDINGS CO. LTD.,0.06%
406,Ryman Healthcare Ltd.,0.06%
407,"TOCALO Co., Ltd.",0.06%
408,Nippon Yusen Kabushiki Kaisha,0.06%
409,"Kuraray Co., Ltd.",0.06%
410,"Shinko Electric Industries Co., Ltd.",0.06%
411,Iluka Resources Limited,0.06%
412,"Ryohin Keikaku Co., Ltd.",0.06%
413,Nabtesco Corporation,0.06%
414,Kurita Water Industries Ltd.,0.06%
415,Mazda Motor Corp.,0.06%
416,"Tokyo Seimitsu Co., Ltd",0.06%
417,"JAPAN POST INSURANCE Co., Ltd.",0.05%
418,NSK Ltd.,0.05%
419,Cawachi Limited,0.05%
420,"Casio Computer Co., Ltd.",0.05%
421,"Shimachu Co., Ltd.",0.05%
422,COMSYS Holdings Corporation,0.05%
423,Swire Properties Limited,0.05%
424,"Nihon Unisys,Ltd.",0.05%
425,CKD Corporation,0.05%
426,"Sumitomo Forestry Co., Ltd.",0.05%
427,St. Barbara Ltd.,0.05%
428,Seikagaku Corporation,0.05%
429,"Seino Holdings Co., Ltd.",0.05%
430,"TS Tech Co., Ltd.",0.05%
431,AMP Limited,0.05%
432,Keikyu Corporation,0.05%
433,"JFE Holdings, Inc.",0.05%
434,Wynn Macau Ltd.,0.05%
435,"Kiyo Bank, Ltd.",0.05%
436,"Ministop Co., Ltd.",0.05%
437,Genting Singapore Limited,0.05%
438,Technology One Limited,0.05%
439,Mapletree Commercial Trust,0.05%
440,City Developments Limited,0.05%
441,"Fuji Oil Holdings, Inc.",0.05%
442,Takara Bio Inc.,0.05%
443,"NGK Insulators, Ltd.",0.05%
444,Adeka Corp.,0.05%
445,Mirait Holdings Corporation,0.05%
446,Chorus Limited,0.05%
447,GMO Internet Inc.,0.05%
448,Takara Holdings Inc.,0.05%
449,CapitaLand Commercial Trust,0.05%
450,Tsumura & Co.,0.05%
