,Name,Allocation
232,"Xilinx, Inc.",0.08%
233,ResMed Inc.,0.08%
234,Microchip Technology Incorporated,0.08%
235,Ball Corporation,0.08%
236,Corning Inc,0.08%
237,"Marriott International, Inc. Class A",0.08%
238,McKesson Corporation,0.07%
239,Aflac Incorporated,0.07%
240,Willis Towers Watson Public Limited Company,0.07%
241,"McCormick & Company, Incorporated",0.07%
242,Archer-Daniels-Midland Company,0.07%
243,"Consolidated Edison, Inc.",0.07%
244,"Dollar Tree, Inc.",0.07%
245,"Stanley Black & Decker, Inc.",0.07%
246,Hilton Worldwide Holdings Inc,0.07%
247,"American International Group, Inc.",0.07%
248,"Paychex, Inc.",0.07%
249,"Welltower, Inc.",0.07%
250,Marathon Petroleum Corporation,0.07%
251,"Church & Dwight Co., Inc.",0.07%
252,"Skyworks Solutions, Inc.",0.07%
253,State Street Corporation,0.07%
254,"Alexion Pharmaceuticals, Inc.",0.07%
255,"AMETEK, Inc.",0.07%
256,Kraft Heinz Company,0.07%
257,Mettler-Toledo International Inc.,0.07%
258,DTE Energy Company,0.07%
259,Fortive Corp.,0.07%
260,Valero Energy Corporation,0.07%
261,"Okta, Inc. Class A",0.07%
262,Marvell Technology Group Ltd.,0.07%
263,Hershey Company,0.07%
264,"RingCentral, Inc. Class A",0.07%
265,Cerner Corporation,0.07%
266,PPL Corporation,0.07%
267,"AvalonBay Communities, Inc.",0.07%
268,"Copart, Inc.",0.06%
269,"Snap, Inc. Class A",0.06%
270,Brown-Forman Corporation Class B,0.06%
271,Corteva Inc,0.06%
272,"Alexandria Real Estate Equities, Inc.",0.06%
273,"VeriSign, Inc.",0.06%
274,Liberty Broadband Corp. Class C,0.06%
275,"Simon Property Group, Inc.",0.06%
276,Realty Income Corporation,0.06%
277,V.F. Corporation,0.06%
278,Equity Residential,0.06%
279,"Old Dominion Freight Line, Inc.",0.06%
280,Ameren Corporation,0.06%
281,"FLEETCOR Technologies, Inc.",0.06%
282,Entergy Corporation,0.06%
283,First Republic Bank,0.06%
284,"Republic Services, Inc.",0.06%
285,Edison International,0.06%
286,Equifax Inc.,0.06%
287,"Fortinet, Inc.",0.06%
288,"Conagra Brands, Inc.",0.05%
289,"Seattle Genetics, Inc.",0.05%
290,"Tyson Foods, Inc. Class A",0.05%
291,Keysight Technologies Inc,0.05%
292,Kellogg Company,0.05%
293,"Match Group, Inc.",0.05%
294,Incyte Corporation,0.05%
295,Las Vegas Sands Corp.,0.05%
296,"Akamai Technologies, Inc.",0.05%
297,CMS Energy Corporation,0.05%
298,"Citrix Systems, Inc.",0.05%
299,MarketAxess Holdings Inc.,0.05%
300,FirstEnergy Corp.,0.05%
301,"Essex Property Trust, Inc.",0.04%
302,BioMarin Pharmaceutical Inc.,0.04%
303,IAC/InteractiveCorp.,0.03%
