Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201007|APXT|1162|0|67857|B,Q,N
20201007|APXTW|714|10|16536|Q,N
20201007|APYX|4209|0|11972|Q,N
20201007|AQB|99848|4150|382676|B,Q,N
20201007|AQMS|1732484|5530|2959159|B,Q,N
20201007|AQN|137894|0|216737|B,Q,N
20201007|AQNA|2081|0|5554|B,Q,N
20201007|AQNB|2124|0|5874|Q,N
20201007|AQST|150169|986|467041|B,Q,N
20201007|AQUA|115127|550|242072|B,Q,N
20201007|AR|1464298|560|3604876|B,Q,N
20201007|ARA|31324|571|250825|Q,N
20201007|ARAV|22446|1|51129|Q,N
20201007|ARAY|76084|100|183576|Q,N
20201007|ARB|125|0|150|Q
20201007|ARC|46720|25|108056|Q,N
20201007|ARCB|38514|0|80434|Q,N
20201007|ARCC|199733|3163|482904|B,Q,N
20201007|ARCE|30702|0|89657|Q,N
20201007|ARCH|49756|0|149077|B,Q,N
20201007|ARCO|84048|0|372190|B,Q,N
20201007|ARCT|54568|0|122559|B,Q,N
20201007|ARD|16072|6700|20075|B,Q,N
20201007|ARDC|29350|0|42628|Q,N
20201007|ARDX|45396|0|72946|Q,N
20201007|ARE|58662|0|111122|B,Q,N
20201007|AREC|45701036|624478|77412989|B,Q,N
20201007|ARES|56597|300|148598|B,Q,N
20201007|ARESpA|4921|0|7370|Q
20201007|ARGD|2625|677|3225|Q,N
20201007|ARGO|12263|0|24833|Q,N
20201007|ARGOpA|9657|662|13372|Q,N
20201007|ARGT|505|0|751|Q
20201007|ARGX|17024|0|38846|B,Q,N
20201007|ARI|85394|0|231286|B,Q,N
20201007|ARKF|264125|429|422357|B,Q,N
20201007|ARKG|494719|300|636290|B,Q,N
20201007|ARKK|811618|202|1426347|B,Q,N
20201007|ARKQ|77492|0|126235|B,Q,N
20201007|ARKR|1157|0|4391|Q,N
20201007|ARKW|213283|0|332207|B,Q,N
20201007|ARL|94|0|169|Q,N
20201007|ARLO|114672|929|180544|B,Q,N
20201007|ARLP|73781|0|244916|B,Q,N
20201007|ARMK|153408|323|321755|Q,N
20201007|ARMP|200|0|257|Q
20201007|ARMR|36|0|62|Q,N
20201007|ARNA|79578|0|283164|Q,N
20201007|ARNC|152361|0|230344|B,Q,N
20201007|AROC|82361|400|182501|Q,N
20201007|AROW|808|0|1870|Q,N
20201007|ARPO|109750|0|297071|Q,N
20201007|ARQT|16589|0|110506|B,Q,N
20201007|ARR|167945|578|286177|Q,N
20201007|ARRpC|3021|0|5633|B,Q,N
20201007|ARTL|96389|5150|196950|B,Q,N
20201007|ARTLW|100|0|101|Q
20201007|ARTNA|1707|0|4832|Q,N
20201007|ARTW|574|0|6494|Q,N
20201007|ARVN|22282|0|47711|B,Q,N
20201007|ARW|48480|0|70778|Q,N
20201007|ARWR|53799|0|145447|B,Q,N
20201007|ARYA|1450|0|2614|Q,N
20201007|ARYB|2519|0|3346|Q,N
20201007|ARYBU|4311|0|9121|Q
20201007|ASA|9031|300|20962|Q,N
20201007|ASAN|615996|4206|1639718|B,Q,N
20201007|ASAQ/U|19830|0|880460|Q,N
20201007|ASB|86014|1300|209434|Q,N
20201007|ASBpC|2300|0|2300|Q
20201007|ASBpD|2175|100|2287|Q
20201007|ASBpE|132|0|592|Q,N
20201007|ASBpF|712|0|3246|Q
20201007|ASC|38391|0|83381|Q,N
20201007|ASEA|468|0|1173|Q,N
20201007|ASG|31855|0|57764|Q,N
20201007|ASGI|3980|0|28182|Q,N
20201007|ASGN|31457|340|51779|B,Q,N
20201007|ASH|25506|219|61229|Q,N
20201007|ASHR|933966|0|1101515|B,Q,N
20201007|ASHS|791|0|2359|Q,N
20201007|ASIX|7642|5|34445|Q,N
20201007|ASLN|2093|0|9113|Q,N
20201007|ASM|155261|0|300503|Q,N
20201007|ASMB|35573|0|45317|B,Q,N
20201007|ASML|88665|100|146451|B,Q,N
20201007|ASND|31761|0|49102|Q,N
20201007|ASO|89624|0|608828|B,Q,N
20201007|ASPL/U|1000|0|34686|Q
20201007|ASPN|6926|0|23511|Q,N
20201007|ASPS|6365|0|18638|Q,N
20201007|ASPU|10745|1700|17462|B,Q,N
20201007|ASR|5303|100|8192|Q,N
20201007|ASRT|63374|0|122431|Q,N
20201007|ASRV|2251|0|2770|Q,N
20201007|ASTC|16629|0|25908|B,Q,N
20201007|ASTE|13695|0|28651|Q,N
20201007|ASUR|7557|0|29342|Q,N
20201007|ASX|53744|0|92706|B,Q,N
20201007|ASYS|9760|0|17699|Q,N
20201007|AT|7938|0|61578|Q,N
20201007|ATAX|25663|100|64433|Q,N
20201007|ATCO|45795|1110|120442|B,Q,N
20201007|ATCOpD|334|0|2262|Q,N
20201007|ATCOpE|81|0|1949|Q,N
20201007|ATCOpG|1886|0|3687|Q,N
20201007|ATCOpH|3256|0|7789|Q,N
20201007|ATCOpI|1005|0|4474|Q
20201007|ATCX|208|0|789|Q
20201007|ATEC|44030|408|101981|B,Q,N
20201007|ATEN|72990|0|193658|Q,N
20201007|ATEX|4786|100|11784|Q,N
20201007|ATGE|42175|0|77235|Q,N
20201007|ATH|40826|0|158117|Q,N
20201007|ATHA|8247|0|24095|Q,N
20201007|ATHE|6368|250|18903|Q,N
20201007|ATHM|27369|0|42103|B,Q,N
20201007|ATHX|143563|43601|446447|B,Q,N
20201007|ATHpA|6864|1067|21527|Q
20201007|ATHpB|6898|0|16487|Q,N
20201007|ATHpC|7901|600|14177|Q,N
20201007|ATI|228105|740|406894|B,Q,N
20201007|ATIF|8273|0|20809|Q,N
20201007|ATKR|26599|258|95101|Q,N
20201007|ATLC|255|0|1260|Q,N
20201007|ATLO|734|0|5457|Q
20201007|ATNI|1734|0|5387|Q,N
20201007|ATNM|26221|31|63676|Q,N
20201007|ATNX|38651|400|91977|Q,N
20201007|ATO|85481|0|309136|Q,N
20201007|ATOM|28833|984|48245|B,Q,N
20201007|ATOS|25904|0|64751|Q,N
20201007|ATR|8948|0|20775|B,Q,N
20201007|ATRA|21620|0|124624|Q,N
20201007|ATRC|37748|0|91635|Q,N
20201007|ATRI|1052|0|1685|Q,N
20201007|ATRO|6363|148|18159|B,Q,N
20201007|ATRS|100030|729|572260|B,Q,N
20201007|ATSG|35508|100|104257|B,Q,N
20201007|ATTO|662|150|2147|Q,N
20201007|ATUS|283315|0|671157|Q,N
20201007|ATV|589|0|3459|Q,N
20201007|ATVI|370560|1300|1549769|B,Q,N
20201007|ATXI|17620|300|41608|Q,N
20201007|AU|117868|200|401851|B,Q,N
20201007|AUB|23201|30|42741|Q,N
20201007|AUBAP|10077|0|15340|Q,N
20201007|AUBN|728|0|1485|Q,N
20201007|AUDC|30013|277|53200|B,Q,N
20201007|AUG|337101|1700|533687|B,Q,N
20201007|AUMN|5188128|39200|9553263|B,Q,N
20201007|AUPH|185524|833|529992|B,Q,N
20201007|AUSF|2|0|1368|N
20201007|AUTL|4103|0|10387|Q,N
20201007|AUTO|46968|400|83063|Q,N
20201007|AUVI|14816|400|26613|Q,N
20201007|AUY|3837318|0|6193721|B,Q,N
20201007|AVA|35287|0|79971|B,Q,N
20201007|AVAL|12346|0|26012|Q,N
20201007|AVAN/U|65665|0|78677|Q
20201007|AVAV|18615|113|38579|B,Q,N
20201007|AVB|45095|0|222818|B,Q,N
20201007|AVCO|78979|49|129840|B,Q,N
20201007|AVCT|6034|0|12775|B,Q,N
20201007|AVCTW|37030|0|47153|Q,N
20201007|AVD|3293|0|8521|B,Q,N
20201007|AVDE|9822|0|11800|Q,N
20201007|AVDL|92455|0|171078|Q,N
20201007|AVDV|6427|0|12320|Q,N
20201007|AVEM|2076|0|2982|Q,N
20201007|AVEO|80598|288|164783|Q,N
