Symbol,Date,Open,High,Low,Close,Volume
DTN,20-Aug-2020,76.85,77.175,76.85,76.96,16800
DUAL,20-Aug-2020,25.3713,25.3713,25.3713,25.3713,100
DUG,20-Aug-2020,41.36,42,41.1,42,72400
DURA,20-Aug-2020,26.835,26.89,26.835,26.8607,3000
DUSL,20-Aug-2020,18.97,19.2462,18.77,19.155,67300
DUST,20-Aug-2020,18.05,18.29,17.14,17.26,11784900
DVYA,20-Aug-2020,33.77,34.0538,33.77,34.0538,1700
DVYE,20-Aug-2020,31.8,32.13,31.7001,32.12,85800
DWM,20-Aug-2020,46.59,46.905,46.59,46.855,27500
DWMF,20-Aug-2020,24.17,24.27,24.17,24.2692,3700
DWX,20-Aug-2020,34.77,35.0299,34.725,35.0152,29500
DXD,20-Aug-2020,16.21,16.23,15.935,15.99,1403500
DXF,20-Aug-2020,0.7231,0.84,0.65,0.7789,560300
DXJ,20-Aug-2020,47.88,48.045,47.861,47.95,377100
DXR,20-Aug-2020,16.7,17.4411,16.7,16.705,1000
DYHG,20-Aug-2020,49.77,49.8812,49.77,49.8812,300
DYNF,20-Aug-2020,28.0833,28.125,28.0833,28.1226,500
DZK,20-Aug-2020,44.5,45.465,44.4601,45.35,4500
DZZ,20-Aug-2020,2.63,2.7,2.56,2.61,15100
EAD,20-Aug-2020,7.54,7.56,7.535,7.56,203100
EAGG,20-Aug-2020,56.8,56.81,56.75,56.79,39300
EAOA,20-Aug-2020,27.4202,27.5525,27.4202,27.5525,1000
EAOK,20-Aug-2020,26.1621,26.1621,26.1621,26.1621,100
EAOM,20-Aug-2020,26.4642,26.4642,26.4642,26.4642,0
EAOR,20-Aug-2020,27.0175,27.0175,27.0175,27.0175,0
EASG,20-Aug-2020,25.65,25.8186,25.65,25.8129,14000
EBND,20-Aug-2020,26.48,26.62,26.48,26.62,166300
ECF,20-Aug-2020,12.66,12.67,12.56,12.66,8900
ECF-A,20-Aug-2020,26.13,26.13,26.04,26.0535,2000
ECH,20-Aug-2020,26.1,26.57,26.1,26.53,479300
